序号,全称,级别,类型,级别标签,类型标签,组合标签,细分标签,上级,省,地理大区,备注
66,唐山市开平区政协,县级,市辖区,县级,市辖区,"县级政协,市辖区政协,区政协",,唐山市,河北省,华北,
67,唐山市丰南区政协,县级,市辖区,县级,市辖区,"县级政协,市辖区政协,区政协",,唐山市,河北省,华北,
68,唐山市丰润区政协,县级,市辖区,县级,市辖区,"县级政协,市辖区政协,区政协",,唐山市,河北省,华北,
69,唐山市曹妃甸区政协,县级,市辖区,县级,市辖区,"县级政协,市辖区政协,区政协",,唐山市,河北省,华北,
70,唐山市滦南县政协,县级,县,县级,县,"县级政协,县政协",,唐山市,河北省,华北,
71,唐山市乐亭县政协,县级,县,县级,县,"县级政协,县政协",,唐山市,河北省,华北,
72,唐山市迁西县政协,县级,县,县级,县,"县级政协,县政协",,唐山市,河北省,华北,
73,唐山市玉田县政协,县级,县,县级,县,"县级政协,县政协",,唐山市,河北省,华北,
74,唐山市河北唐山芦台经济开发区政协,县级,市辖区,县级,市辖区,"县级政协,市辖区政协,区政协",,唐山市,河北省,华北,疑似功能区（含「开发区」），通常无独立政协委员会，请核实
75,唐山市唐山市汉沽管理区政协,县级,市辖区,县级,市辖区,"县级政协,市辖区政协,区政协",,唐山市,河北省,华北,疑似功能区（含「管理区」），通常无独立政协委员会，请核实
76,唐山市唐山高新技术产业开发区政协,县级,市辖区,县级,市辖区,"县级政协,市辖区政协,区政协",,唐山市,河北省,华北,疑似功能区（含「开发区」），通常无独立政协委员会，请核实
77,唐山市河北唐山海港经济开发区政协,县级,市辖区,县级,市辖区,"县级政协,市辖区政协,区政协",,唐山市,河北省,华北,疑似功能区（含「开发区」），通常无独立政协委员会，请核实
78,唐山市遵化市政协,县级,县级市,县级,县级市,"县级政协,县级市政协",,唐山市,河北省,华北,
79,唐山市迁安市政协,县级,县级市,县级,县级市,"县级政协,县级市政协",,唐山市,河北省,华北,
80,唐山市滦州市政协,县级,县级市,县级,县级市,"县级政协,县级市政协",,唐山市,河北省,华北,
81,秦皇岛市政协,地级,地级市,地级,地级市,"地级政协,地级市政协",,秦皇岛市,河北省,华北,
82,秦皇岛市海港区政协,县级,市辖区,县级,市辖区,"县级政协,市辖区政协,区政协",,秦皇岛市,河北省,华北,
83,秦皇岛市山海关区政协,县级,市辖区,县级,市辖区,"县级政协,市辖区政协,区政协",,秦皇岛市,河北省,华北,
84,秦皇岛市北戴河区政协,县级,市辖区,县级,市辖区,"县级政协,市辖区政协,区政协",,秦皇岛市,河北省,华北,
85,秦皇岛市抚宁区政协,县级,市辖区,县级,市辖区,"县级政协,市辖区政协,区政协",,秦皇岛市,河北省,华北,
86,秦皇岛市青龙满族自治县政协,县级,自治县,县级,自治县,"县级政协,自治县政协",,秦皇岛市,河北省,华北,
87,秦皇岛市昌黎县政协,县级,县,县级,县,"县级政协,县政协",,秦皇岛市,河北省,华北,
88,秦皇岛市卢龙县政协,县级,县,县级,县,"县级政协,县政协",,秦皇岛市,河北省,华北,
89,秦皇岛市秦皇岛市经济技术开发区政协,县级,市辖区,县级,市辖区,"县级政协,市辖区政协,区政协",,秦皇岛市,河北省,华北,疑似功能区（含「开发区」），通常无独立政协委员会，请核实
90,秦皇岛市北戴河新区政协,县级,市辖区,县级,市辖区,"县级政协,市辖区政协,区政协",,秦皇岛市,河北省,华北,疑似功能区（含「新区」），通常无独立政协委员会，请核实
91,邯郸市政协,地级,地级市,地级,地级市,"地级政协,地级市政协",,邯郸市,河北省,华北,
92,邯郸市邯山区政协,县级,市辖区,县级,市辖区,"县级政协,市辖区政协,区政协",,邯郸市,河北省,华北,
93,邯郸市丛台区政协,县级,市辖区,县级,市辖区,"县级政协,市辖区政协,区政协",,邯郸市,河北省,华北,
94,邯郸市复兴区政协,县级,市辖区,县级,市辖区,"县级政协,市辖区政协,区政协",,邯郸市,河北省,华北,
95,邯郸市峰峰矿区政协,县级,市辖区,县级,市辖区,"县级政协,市辖区政协,区政协",,邯郸市,河北省,华北,
96,邯郸市肥乡区政协,县级,市辖区,县级,市辖区,"县级政协,市辖区政协,区政协",,邯郸市,河北省,华北,
97,邯郸市永年区政协,县级,市辖区,县级,市辖区,"县级政协,市辖区政协,区政协",,邯郸市,河北省,华北,
98,邯郸市临漳县政协,县级,县,县级,县,"县级政协,县政协",,邯郸市,河北省,华北,
99,邯郸市成安县政协,县级,县,县级,县,"县级政协,县政协",,邯郸市,河北省,华北,
100,邯郸市大名县政协,县级,县,县级,县,"县级政协,县政协",,邯郸市,河北省,华北,
101,邯郸市涉县政协,县级,县,县级,县,"县级政协,县政协",,邯郸市,河北省,华北,
102,邯郸市磁县政协,县级,县,县级,县,"县级政协,县政协",,邯郸市,河北省,华北,
103,邯郸市邱县政协,县级,县,县级,县,"县级政协,县政协",,邯郸市,河北省,华北,
104,邯郸市鸡泽县政协,县级,县,县级,县,"县级政协,县政协",,邯郸市,河北省,华北,
105,邯郸市广平县政协,县级,县,县级,县,"县级政协,县政协",,邯郸市,河北省,华北,
106,邯郸市馆陶县政协,县级,县,县级,县,"县级政协,县政协",,邯郸市,河北省,华北,
107,邯郸市魏县政协,县级,县,县级,县,"县级政协,县政协",,邯郸市,河北省,华北,
108,邯郸市曲周县政协,县级,县,县级,县,"县级政协,县政协",,邯郸市,河北省,华北,
109,邯郸市邯郸经济技术开发区政协,县级,市辖区,县级,市辖区,"县级政协,市辖区政协,区政协",,邯郸市,河北省,华北,疑似功能区（含「开发区」），通常无独立政协委员会，请核实
110,邯郸市邯郸冀南新区政协,县级,市辖区,县级,市辖区,"县级政协,市辖区政协,区政协",,邯郸市,河北省,华北,疑似功能区（含「新区」），通常无独立政协委员会，请核实
111,邯郸市武安市政协,县级,县级市,县级,县级市,"县级政协,县级市政协",,邯郸市,河北省,华北,
112,邢台市政协,地级,地级市,地级,地级市,"地级政协,地级市政协",,邢台市,河北省,华北,
113,邢台市襄都区政协,县级,市辖区,县级,市辖区,"县级政协,市辖区政协,区政协",,邢台市,河北省,华北,
114,邢台市信都区政协,县级,市辖区,县级,市辖区,"县级政协,市辖区政协,区政协",,邢台市,河北省,华北,
115,邢台市任泽区政协,县级,市辖区,县级,市辖区,"县级政协,市辖区政协,区政协",,邢台市,河北省,华北,
116,邢台市南和区政协,县级,市辖区,县级,市辖区,"县级政协,市辖区政协,区政协",,邢台市,河北省,华北,
117,邢台市临城县政协,县级,县,县级,县,"县级政协,县政协",,邢台市,河北省,华北,
118,邢台市内丘县政协,县级,县,县级,县,"县级政协,县政协",,邢台市,河北省,华北,
119,邢台市柏乡县政协,县级,县,县级,县,"县级政协,县政协",,邢台市,河北省,华北,
120,邢台市隆尧县政协,县级,县,县级,县,"县级政协,县政协",,邢台市,河北省,华北,
121,邢台市宁晋县政协,县级,县,县级,县,"县级政协,县政协",,邢台市,河北省,华北,
122,邢台市巨鹿县政协,县级,县,县级,县,"县级政协,县政协",,邢台市,河北省,华北,
123,邢台市新河县政协,县级,县,县级,县,"县级政协,县政协",,邢台市,河北省,华北,
124,邢台市广宗县政协,县级,县,县级,县,"县级政协,县政协",,邢台市,河北省,华北,
125,邢台市平乡县政协,县级,县,县级,县,"县级政协,县政协",,邢台市,河北省,华北,
126,邢台市威县政协,县级,县,县级,县,"县级政协,县政协",,邢台市,河北省,华北,
127,邢台市清河县政协,县级,县,县级,县,"县级政协,县政协",,邢台市,河北省,华北,
128,邢台市临西县政协,县级,县,县级,县,"县级政协,县政协",,邢台市,河北省,华北,
129,邢台市河北邢台经济开发区政协,县级,市辖区,县级,市辖区,"县级政协,市辖区政协,区政协",,邢台市,河北省,华北,疑似功能区（含「开发区」），通常无独立政协委员会，请核实
130,邢台市南宫市政协,县级,县级市,县级,县级市,"县级政协,县级市政协",,邢台市,河北省,华北,
131,邢台市沙河市政协,县级,县级市,县级,县级市,"县级政协,县级市政协",,邢台市,河北省,华北,
132,保定市政协,地级,地级市,地级,地级市,"地级政协,地级市政协",,保定市,河北省,华北,
133,保定市竞秀区政协,县级,市辖区,县级,市辖区,"县级政协,市辖区政协,区政协",,保定市,河北省,华北,
134,保定市莲池区政协,县级,市辖区,县级,市辖区,"县级政协,市辖区政协,区政协",,保定市,河北省,华北,
135,保定市满城区政协,县级,市辖区,县级,市辖区,"县级政协,市辖区政协,区政协",,保定市,河北省,华北,
136,保定市清苑区政协,县级,市辖区,县级,市辖区,"县级政协,市辖区政协,区政协",,保定市,河北省,华北,
137,保定市徐水区政协,县级,市辖区,县级,市辖区,"县级政协,市辖区政协,区政协",,保定市,河北省,华北,
138,保定市涞水县政协,县级,县,县级,县,"县级政协,县政协",,保定市,河北省,华北,
139,保定市阜平县政协,县级,县,县级,县,"县级政协,县政协",,保定市,河北省,华北,
140,保定市定兴县政协,县级,县,县级,县,"县级政协,县政协",,保定市,河北省,华北,
141,保定市唐县政协,县级,县,县级,县,"县级政协,县政协",,保定市,河北省,华北,
142,保定市高阳县政协,县级,县,县级,县,"县级政协,县政协",,保定市,河北省,华北,
143,保定市容城县政协,县级,县,县级,县,"县级政协,县政协",,保定市,河北省,华北,
144,保定市涞源县政协,县级,县,县级,县,"县级政协,县政协",,保定市,河北省,华北,
145,保定市望都县政协,县级,县,县级,县,"县级政协,县政协",,保定市,河北省,华北,
146,保定市安新县政协,县级,县,县级,县,"县级政协,县政协",,保定市,河北省,华北,
147,保定市易县政协,县级,县,县级,县,"县级政协,县政协",,保定市,河北省,华北,
148,保定市曲阳县政协,县级,县,县级,县,"县级政协,县政协",,保定市,河北省,华北,
149,保定市蠡县政协,县级,县,县级,县,"县级政协,县政协",,保定市,河北省,华北,
150,保定市顺平县政协,县级,县,县级,县,"县级政协,县政协",,保定市,河北省,华北,
151,保定市博野县政协,县级,县,县级,县,"县级政协,县政协",,保定市,河北省,华北,
152,保定市雄县政协,县级,县,县级,县,"县级政协,县政协",,保定市,河北省,华北,
153,保定市保定高新技术产业开发区政协,县级,市辖区,县级,市辖区,"县级政协,市辖区政协,区政协",,保定市,河北省,华北,疑似功能区（含「开发区」），通常无独立政协委员会，请核实
154,保定市涿州市政协,县级,县级市,县级,县级市,"县级政协,县级市政协",,保定市,河北省,华北,
155,保定市定州市政协,县级,县级市,县级,县级市,"县级政协,县级市政协",,保定市,河北省,华北,
156,保定市安国市政协,县级,县级市,县级,县级市,"县级政协,县级市政协",,保定市,河北省,华北,
157,保定市高碑店市政协,县级,县级市,县级,县级市,"县级政协,县级市政协",,保定市,河北省,华北,
158,张家口市政协,地级,地级市,地级,地级市,"地级政协,地级市政协",,张家口市,河北省,华北,
159,张家口市桥东区政协,县级,市辖区,县级,市辖区,"县级政协,市辖区政协,区政协",,张家口市,河北省,华北,
160,张家口市桥西区政协,县级,市辖区,县级,市辖区,"县级政协,市辖区政协,区政协",,张家口市,河北省,华北,
161,张家口市宣化区政协,县级,市辖区,县级,市辖区,"县级政协,市辖区政协,区政协",,张家口市,河北省,华北,
162,张家口市下花园区政协,县级,市辖区,县级,市辖区,"县级政协,市辖区政协,区政协",,张家口市,河北省,华北,
163,张家口市万全区政协,县级,市辖区,县级,市辖区,"县级政协,市辖区政协,区政协",,张家口市,河北省,华北,
164,张家口市崇礼区政协,县级,市辖区,县级,市辖区,"县级政协,市辖区政协,区政协",,张家口市,河北省,华北,
165,张家口市张北县政协,县级,县,县级,县,"县级政协,县政协",,张家口市,河北省,华北,
166,张家口市康保县政协,县级,县,县级,县,"县级政协,县政协",,张家口市,河北省,华北,
167,张家口市沽源县政协,县级,县,县级,县,"县级政协,县政协",,张家口市,河北省,华北,
168,张家口市尚义县政协,县级,县,县级,县,"县级政协,县政协",,张家口市,河北省,华北,
169,张家口市蔚县政协,县级,县,县级,县,"县级政协,县政协",,张家口市,河北省,华北,
170,张家口市阳原县政协,县级,县,县级,县,"县级政协,县政协",,张家口市,河北省,华北,
171,张家口市怀安县政协,县级,县,县级,县,"县级政协,县政协",,张家口市,河北省,华北,
172,张家口市怀来县政协,县级,县,县级,县,"县级政协,县政协",,张家口市,河北省,华北,
173,张家口市涿鹿县政协,县级,县,县级,县,"县级政协,县政协",,张家口市,河北省,华北,
174,张家口市赤城县政协,县级,县,县级,县,"县级政协,县政协",,张家口市,河北省,华北,
175,张家口市张家口经济开发区政协,县级,市辖区,县级,市辖区,"县级政协,市辖区政协,区政协",,张家口市,河北省,华北,疑似功能区（含「开发区」），通常无独立政协委员会，请核实
176,张家口市张家口市察北管理区政协,县级,市辖区,县级,市辖区,"县级政协,市辖区政协,区政协",,张家口市,河北省,华北,疑似功能区（含「管理区」），通常无独立政协委员会，请核实
177,张家口市张家口市塞北管理区政协,县级,市辖区,县级,市辖区,"县级政协,市辖区政协,区政协",,张家口市,河北省,华北,疑似功能区（含「管理区」），通常无独立政协委员会，请核实
178,承德市政协,地级,地级市,地级,地级市,"地级政协,地级市政协",,承德市,河北省,华北,
179,承德市双桥区政协,县级,市辖区,县级,市辖区,"县级政协,市辖区政协,区政协",,承德市,河北省,华北,
180,承德市双滦区政协,县级,市辖区,县级,市辖区,"县级政协,市辖区政协,区政协",,承德市,河北省,华北,
181,承德市鹰手营子矿区政协,县级,市辖区,县级,市辖区,"县级政协,市辖区政协,区政协",,承德市,河北省,华北,
182,承德市承德县政协,县级,县,县级,县,"县级政协,县政协",,承德市,河北省,华北,
183,承德市兴隆县政协,县级,县,县级,县,"县级政协,县政协",,承德市,河北省,华北,
184,承德市滦平县政协,县级,县,县级,县,"县级政协,县政协",,承德市,河北省,华北,
185,承德市隆化县政协,县级,县,县级,县,"县级政协,县政协",,承德市,河北省,华北,
186,承德市丰宁满族自治县政协,县级,自治县,县级,自治县,"县级政协,自治县政协",,承德市,河北省,华北,
187,承德市宽城满族自治县政协,县级,自治县,县级,自治县,"县级政协,自治县政协",,承德市,河北省,华北,
188,承德市围场满族蒙古族自治县政协,县级,自治县,县级,自治县,"县级政协,自治县政协",,承德市,河北省,华北,
189,承德市承德高新技术产业开发区政协,县级,市辖区,县级,市辖区,"县级政协,市辖区政协,区政协",,承德市,河北省,华北,疑似功能区（含「开发区」），通常无独立政协委员会，请核实
190,承德市平泉市政协,县级,县级市,县级,县级市,"县级政协,县级市政协",,承德市,河北省,华北,
191,沧州市政协,地级,地级市,地级,地级市,"地级政协,地级市政协",,沧州市,河北省,华北,
192,沧州市新华区政协,县级,市辖区,县级,市辖区,"县级政协,市辖区政协,区政协",,沧州市,河北省,华北,
193,沧州市运河区政协,县级,市辖区,县级,市辖区,"县级政协,市辖区政协,区政协",,沧州市,河北省,华北,
194,沧州市沧县政协,县级,县,县级,县,"县级政协,县政协",,沧州市,河北省,华北,
195,沧州市青县政协,县级,县,县级,县,"县级政协,县政协",,沧州市,河北省,华北,
196,沧州市东光县政协,县级,县,县级,县,"县级政协,县政协",,沧州市,河北省,华北,
197,沧州市海兴县政协,县级,县,县级,县,"县级政协,县政协",,沧州市,河北省,华北,
198,沧州市盐山县政协,县级,县,县级,县,"县级政协,县政协",,沧州市,河北省,华北,
199,沧州市肃宁县政协,县级,县,县级,县,"县级政协,县政协",,沧州市,河北省,华北,
200,沧州市南皮县政协,县级,县,县级,县,"县级政协,县政协",,沧州市,河北省,华北,
201,沧州市吴桥县政协,县级,县,县级,县,"县级政协,县政协",,沧州市,河北省,华北,
202,沧州市献县政协,县级,县,县级,县,"县级政协,县政协",,沧州市,河北省,华北,
203,沧州市孟村回族自治县政协,县级,自治县,县级,自治县,"县级政协,自治县政协",,沧州市,河北省,华北,
204,沧州市河北沧州经济开发区政协,县级,市辖区,县级,市辖区,"县级政协,市辖区政协,区政协",,沧州市,河北省,华北,疑似功能区（含「开发区」），通常无独立政协委员会，请核实
205,沧州市沧州高新技术产业开发区政协,县级,市辖区,县级,市辖区,"县级政协,市辖区政协,区政协",,沧州市,河北省,华北,疑似功能区（含「开发区」），通常无独立政协委员会，请核实
206,沧州市沧州渤海新区政协,县级,市辖区,县级,市辖区,"县级政协,市辖区政协,区政协",,沧州市,河北省,华北,疑似功能区（含「新区」），通常无独立政协委员会，请核实
207,沧州市泊头市政协,县级,县级市,县级,县级市,"县级政协,县级市政协",,沧州市,河北省,华北,
208,沧州市任丘市政协,县级,县级市,县级,县级市,"县级政协,县级市政协",,沧州市,河北省,华北,
209,沧州市黄骅市政协,县级,县级市,县级,县级市,"县级政协,县级市政协",,沧州市,河北省,华北,
210,沧州市河间市政协,县级,县级市,县级,县级市,"县级政协,县级市政协",,沧州市,河北省,华北,
211,廊坊市政协,地级,地级市,地级,地级市,"地级政协,地级市政协",,廊坊市,河北省,华北,
212,廊坊市安次区政协,县级,市辖区,县级,市辖区,"县级政协,市辖区政协,区政协",,廊坊市,河北省,华北,
213,廊坊市广阳区政协,县级,市辖区,县级,市辖区,"县级政协,市辖区政协,区政协",,廊坊市,河北省,华北,
214,廊坊市固安县政协,县级,县,县级,县,"县级政协,县政协",,廊坊市,河北省,华北,
215,廊坊市永清县政协,县级,县,县级,县,"县级政协,县政协",,廊坊市,河北省,华北,
216,廊坊市香河县政协,县级,县,县级,县,"县级政协,县政协",,廊坊市,河北省,华北,
217,廊坊市大城县政协,县级,县,县级,县,"县级政协,县政协",,廊坊市,河北省,华北,
218,廊坊市文安县政协,县级,县,县级,县,"县级政协,县政协",,廊坊市,河北省,华北,
219,廊坊市大厂回族自治县政协,县级,自治县,县级,自治县,"县级政协,自治县政协",,廊坊市,河北省,华北,
220,廊坊市廊坊经济技术开发区政协,县级,市辖区,县级,市辖区,"县级政协,市辖区政协,区政协",,廊坊市,河北省,华北,疑似功能区（含「开发区」），通常无独立政协委员会，请核实
221,廊坊市霸州市政协,县级,县级市,县级,县级市,"县级政协,县级市政协",,廊坊市,河北省,华北,
222,廊坊市三河市政协,县级,县级市,县级,县级市,"县级政协,县级市政协",,廊坊市,河北省,华北,
223,衡水市政协,地级,地级市,地级,地级市,"地级政协,地级市政协",,衡水市,河北省,华北,
224,衡水市桃城区政协,县级,市辖区,县级,市辖区,"县级政协,市辖区政协,区政协",,衡水市,河北省,华北,
225,衡水市冀州区政协,县级,市辖区,县级,市辖区,"县级政协,市辖区政协,区政协",,衡水市,河北省,华北,
226,衡水市枣强县政协,县级,县,县级,县,"县级政协,县政协",,衡水市,河北省,华北,
227,衡水市武邑县政协,县级,县,县级,县,"县级政协,县政协",,衡水市,河北省,华北,
228,衡水市武强县政协,县级,县,县级,县,"县级政协,县政协",,衡水市,河北省,华北,
229,衡水市饶阳县政协,县级,县,县级,县,"县级政协,县政协",,衡水市,河北省,华北,
230,衡水市安平县政协,县级,县,县级,县,"县级政协,县政协",,衡水市,河北省,华北,
231,衡水市故城县政协,县级,县,县级,县,"县级政协,县政协",,衡水市,河北省,华北,
232,衡水市景县政协,县级,县,县级,县,"县级政协,县政协",,衡水市,河北省,华北,
233,衡水市阜城县政协,县级,县,县级,县,"县级政协,县政协",,衡水市,河北省,华北,
234,衡水市河北衡水高新技术产业开发区政协,县级,市辖区,县级,市辖区,"县级政协,市辖区政协,区政协",,衡水市,河北省,华北,疑似功能区（含「开发区」），通常无独立政协委员会，请核实
235,衡水市衡水滨湖新区政协,县级,市辖区,县级,市辖区,"县级政协,市辖区政协,区政协",,衡水市,河北省,华北,疑似功能区（含「新区」），通常无独立政协委员会，请核实
236,衡水市深州市政协,县级,县级市,县级,县级市,"县级政协,县级市政协",,衡水市,河北省,华北,
237,山西省政协,省级,省,省级,省,"省级政协,省政协",,,山西省,华北,
238,太原市政协,地级,地级市,地级,地级市,"地级政协,地级市政协",,太原市,山西省,华北,
239,太原市小店区政协,县级,市辖区,县级,市辖区,"县级政协,市辖区政协,区政协",,太原市,山西省,华北,
240,太原市迎泽区政协,县级,市辖区,县级,市辖区,"县级政协,市辖区政协,区政协",,太原市,山西省,华北,
241,太原市杏花岭区政协,县级,市辖区,县级,市辖区,"县级政协,市辖区政协,区政协",,太原市,山西省,华北,
242,太原市尖草坪区政协,县级,市辖区,县级,市辖区,"县级政协,市辖区政协,区政协",,太原市,山西省,华北,
243,太原市万柏林区政协,县级,市辖区,县级,市辖区,"县级政协,市辖区政协,区政协",,太原市,山西省,华北,
244,太原市晋源区政协,县级,市辖区,县级,市辖区,"县级政协,市辖区政协,区政协",,太原市,山西省,华北,
245,太原市清徐县政协,县级,县,县级,县,"县级政协,县政协",,太原市,山西省,华北,
